AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
-79,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,-82,0,-53,-74,-58,0,-68,-82,-78,-90,-90,0,0,-87,0,0,0,0,0,0,0,0,0,5181
-77,0,0,-88,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,-53,0,0,-73,-71,-74,-81,-87,-86,0,0,-90,0,0,0,0,0,0,0,0,0,5181
0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,-56,-88,-84,0,-61,-76,-78,-84,-83,0,0,0,-82,0,0,0,0,0,0,0,0,5181
-85,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-72,-80,-53,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5181
-85,0,0,-90,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,-81,0,-55,0,-55,-74,-76,-80,-84,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,5181
0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-86,0,-64,0,-58,0,-84,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171
-83,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,-54,0,-60,-74,-77,-75,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171
-84,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,-58,-66,-66,0,-75,-79,-81,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,5171
-88,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,-76,-88,-66,-70,0,0,-83,-85,-82,0,-84,0,0,-90,0,0,0,0,0,0,0,0,0,5171
-86,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,-78,-82,-62,-72,-61,0,-85,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171
